task_id,source_tool_id,base_task_group_id,precision_policy,condition,model_run_repeat,error_mechanism,parse_status,raw_answer
E1B2-A003-003,A003,A003-02,strict_versioned,no_tool,1,numeric_or_structured_mismatch,parsed,"{""molar_mass"":98.075}"
E1B2-A003-005,A003,A003-03,strict_versioned,no_tool,1,numeric_or_structured_mismatch,parsed,"{""molar_mass"":100.088}"
E1B2-A003-007,A003,A003-04,strict_versioned,no_tool,1,numeric_or_structured_mismatch,parsed,"{""molar_mass"":231.532}"
E1B2-A003-009,A003,A003-05,strict_versioned,no_tool,1,numeric_or_structured_mismatch,parsed,"{""molar_mass"":159.604}"
E1B2-A003-011,A003,A003-06,strict_versioned,no_tool,1,numeric_or_structured_mismatch,parsed,"{""molar_mass"":132.139}"
E1B2-B019-004,B019,B019-02,percent_explicit_six_decimal,no_tool,1,parse_failure,invalid,"{""phase1_fraction"":0.437500,""phase2_fraction"":0.562500""}"
E1B2-A003-003,A003,A003-02,strict_versioned,no_tool,2,numeric_or_structured_mismatch,parsed,"{""molar_mass"":98.075}"
E1B2-A003-005,A003,A003-03,strict_versioned,no_tool,2,numeric_or_structured_mismatch,parsed,"{""molar_mass"":100.088}"
E1B2-A003-007,A003,A003-04,strict_versioned,no_tool,2,numeric_or_structured_mismatch,parsed,"{""molar_mass"":231.532}"
E1B2-A003-009,A003,A003-05,strict_versioned,no_tool,2,numeric_or_structured_mismatch,parsed,"{""molar_mass"":159.604}"
E1B2-A003-011,A003,A003-06,strict_versioned,no_tool,2,numeric_or_structured_mismatch,parsed,"{""molar_mass"":132.139}"
E1B2-A004-007,A004,A004-TRACE,six_decimal_components,no_tool,2,numeric_or_structured_mismatch,parsed,"{""normalized"":{""matrix"":0.999,""trace"":0.001001}}"
E1B2-A003-003,A003,A003-02,strict_versioned,no_tool,3,numeric_or_structured_mismatch,parsed,"{""molar_mass"":98.075}"
E1B2-A003-005,A003,A003-03,strict_versioned,no_tool,3,numeric_or_structured_mismatch,parsed,"{""molar_mass"":100.088}"
E1B2-A003-007,A003,A003-04,strict_versioned,no_tool,3,numeric_or_structured_mismatch,parsed,"{""molar_mass"":231.532}"
E1B2-A003-009,A003,A003-05,strict_versioned,no_tool,3,numeric_or_structured_mismatch,parsed,"{""molar_mass"":159.604}"
E1B2-A003-011,A003,A003-06,strict_versioned,no_tool,3,numeric_or_structured_mismatch,parsed,"{""molar_mass"":132.139}"
E1B2-A004-007,A004,A004-TRACE,six_decimal_components,no_tool,3,numeric_or_structured_mismatch,parsed,"{""normalized"":{""matrix"":0.999,""trace"":0.001001}}"
