base_task_group_id,task_count,paired_cell_count,accuracy_gain
A001-ATM-PA,2,6,0.0
A001-KG-G,2,6,0.0
A001-M-MM,2,6,0.0
A001-MPA-PA,2,6,0.0
A001-T-KG,2,6,0.0
A002-01,1,3,0.0
A002-02,1,3,0.0
A002-03,1,3,0.0
A002-04,1,3,0.0
A002-05,1,3,0.0
A002-06,1,3,0.0
A002-07,1,3,0.0
A003-01,2,6,0.0
A003-02,2,6,0.5
A003-03,2,6,0.5
A003-04,2,6,0.5
A003-05,2,6,0.5
A003-06,2,6,0.5
A004-BINARY,2,6,0.0
A004-STEEL,2,6,0.0
A004-TERNARY,2,6,0.0
A004-TRACE,2,6,0.3333333333333333
B019-01,2,6,0.0
B019-02,2,6,0.16666666666666666
B019-03,2,6,0.0
B019-04,2,6,0.0
