task_id,source_tool_id,base_task_group_id,precision_policy,no_tool_correct_repeats,forced_correct_repeats,repeat_count,accuracy_gain
E1B2-A001-001,A001,A001-KG-G,contract_numeric,3,3,3,0.0
E1B2-A001-002,A001,A001-KG-G,contract_numeric,3,3,3,0.0
E1B2-A001-003,A001,A001-T-KG,contract_numeric,3,3,3,0.0
E1B2-A001-004,A001,A001-T-KG,contract_numeric,3,3,3,0.0
E1B2-A001-005,A001,A001-M-MM,contract_numeric,3,3,3,0.0
E1B2-A001-006,A001,A001-M-MM,contract_numeric,3,3,3,0.0
E1B2-A001-007,A001,A001-MPA-PA,contract_numeric,3,3,3,0.0
E1B2-A001-008,A001,A001-MPA-PA,contract_numeric,3,3,3,0.0
E1B2-A001-009,A001,A001-ATM-PA,contract_numeric,3,3,3,0.0
E1B2-A001-010,A001,A001-ATM-PA,contract_numeric,3,3,3,0.0
E1B2-A002-001,A002,A002-01,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A002-002,A002,A002-02,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A002-003,A002,A002-03,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A002-004,A002,A002-04,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A002-005,A002,A002-05,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A002-006,A002,A002-06,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A002-007,A002,A002-07,exact_stoichiometric_counts,3,3,3,0.0
E1B2-A003-001,A003,A003-01,strict_versioned,3,3,3,0.0
E1B2-A003-002,A003,A003-01,approximate_educational,3,3,3,0.0
E1B2-A003-003,A003,A003-02,strict_versioned,0,3,3,1.0
E1B2-A003-004,A003,A003-02,approximate_educational,3,3,3,0.0
E1B2-A003-005,A003,A003-03,strict_versioned,0,3,3,1.0
E1B2-A003-006,A003,A003-03,approximate_educational,3,3,3,0.0
E1B2-A003-007,A003,A003-04,strict_versioned,0,3,3,1.0
E1B2-A003-008,A003,A003-04,approximate_educational,3,3,3,0.0
E1B2-A003-009,A003,A003-05,strict_versioned,0,3,3,1.0
E1B2-A003-010,A003,A003-05,approximate_educational,3,3,3,0.0
E1B2-A003-011,A003,A003-06,strict_versioned,0,3,3,1.0
E1B2-A003-012,A003,A003-06,approximate_educational,3,3,3,0.0
E1B2-A004-001,A004,A004-STEEL,six_decimal_components,3,3,3,0.0
E1B2-A004-002,A004,A004-STEEL,six_decimal_components,3,3,3,0.0
E1B2-A004-003,A004,A004-BINARY,six_decimal_components,3,3,3,0.0
E1B2-A004-004,A004,A004-BINARY,six_decimal_components,3,3,3,0.0
E1B2-A004-005,A004,A004-TERNARY,six_decimal_components,3,3,3,0.0
E1B2-A004-006,A004,A004-TERNARY,six_decimal_components,3,3,3,0.0
E1B2-A004-007,A004,A004-TRACE,six_decimal_components,1,3,3,0.6666666666666666
E1B2-A004-008,A004,A004-TRACE,six_decimal_components,3,3,3,0.0
E1B2-B019-001,B019,B019-01,fraction_explicit_six_decimal,3,3,3,0.0
E1B2-B019-002,B019,B019-01,percent_explicit_six_decimal,3,3,3,0.0
E1B2-B019-003,B019,B019-02,fraction_explicit_six_decimal,3,3,3,0.0
E1B2-B019-004,B019,B019-02,percent_explicit_six_decimal,2,3,3,0.3333333333333333
E1B2-B019-005,B019,B019-03,fraction_explicit_six_decimal,3,3,3,0.0
E1B2-B019-006,B019,B019-03,percent_explicit_six_decimal,3,3,3,0.0
E1B2-B019-007,B019,B019-04,fraction_explicit_six_decimal,3,3,3,0.0
E1B2-B019-008,B019,B019-04,percent_explicit_six_decimal,3,3,3,0.0
