task_id,source_tool_id,base_task_group_id,precision_policy,action,rule_id,no_tool_correct_repeats,forced_correct_repeats,selected_correct_repeats,repeat_count,observed_gain_repeats
E1B2-A001-011,A001,A001-KJ-J,contract_numeric,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A001-012,A001,A001-KJ-J,contract_numeric,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A001-013,A001,A001-C-K,contract_numeric,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A001-014,A001,A001-C-K,contract_numeric,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A001-015,A001,A001-F-C,contract_numeric,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A001-016,A001,A001-F-C,contract_numeric,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A002-008,A002,A002-08,exact_stoichiometric_counts,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A002-009,A002,A002-09,exact_stoichiometric_counts,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A002-010,A002,A002-10,exact_stoichiometric_counts,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A002-011,A002,A002-11,exact_stoichiometric_counts,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A002-012,A002,A002-12,exact_stoichiometric_counts,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A003-013,A003,A003-07,strict_versioned,CALL_VERIFIED_TOOL,CGP-V1-STRICT-VERSIONED,3,3,3,3,0
E1B2-A003-014,A003,A003-07,approximate_educational,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A003-015,A003,A003-08,strict_versioned,CALL_VERIFIED_TOOL,CGP-V1-STRICT-VERSIONED,0,3,3,3,3
E1B2-A003-016,A003,A003-08,approximate_educational,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A003-017,A003,A003-09,strict_versioned,CALL_VERIFIED_TOOL,CGP-V1-STRICT-VERSIONED,3,3,3,3,0
E1B2-A003-018,A003,A003-09,approximate_educational,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A003-019,A003,A003-10,strict_versioned,CALL_VERIFIED_TOOL,CGP-V1-STRICT-VERSIONED,3,3,3,3,0
E1B2-A003-020,A003,A003-10,approximate_educational,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A004-009,A004,A004-QUATERNARY,six_decimal_components,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A004-010,A004,A004-QUATERNARY,six_decimal_components,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A004-011,A004,A004-SINGLE,six_decimal_components,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-A004-012,A004,A004-SINGLE,six_decimal_components,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-B019-009,B019,B019-05,fraction_explicit_six_decimal,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-B019-010,B019,B019-05,percent_explicit_six_decimal,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-B019-011,B019,B019-06,fraction_explicit_six_decimal,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
E1B2-B019-012,B019,B019-06,percent_explicit_six_decimal,ANSWER_WITHOUT_TOOL,DEFAULT,3,3,3,3,0
