task_id,source_tool_id,mutation_types,expected_flags,predicted_flags,expected_primary_status,raw_primary_status,derived_primary_status,expected_action,raw_action,derived_action,strict_schema_valid,flags_well_formed,action_well_formed,primary_status_well_formed,flags_exact,flags_jaccard,raw_action_correct,derived_primary_correct,derived_action_correct,error_types
E2P-A001-01,A001,ready,,,ready,ready,ready,call,call,call,True,True,True,True,True,1.0,True,True,True,none
E2P-A001-02,A001,remove_required_parameter,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-03,A001,make_parameter_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-04,A001,contract_out_of_domain,contract_defined_out_of_domain,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-05,A001,unsupported_system,contract_defined_unsupported_system,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,False,0.0,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-A001-06,A001,unavailable_tool,unavailable,unavailable,unavailable,unavailable,unavailable,refuse,refuse,refuse,True,True,True,True,True,1.0,True,True,True,none
E2P-A001-07,A001,version_mismatch,version_mismatch,version_mismatch,contract_out_of_domain_or_unsupported,version_mismatch,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-08,A001,remove_unit,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-09,A001,make_unit_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-10,A001,remove_required_parameter+unavailable_tool,missing_parameter|unavailable,missing_parameter|unavailable,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A001-11,A001,make_parameter_ambiguous+contract_out_of_domain,ambiguous_parameter|contract_defined_out_of_domain,contract_defined_out_of_domain,missing_or_ambiguous_input,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,clarify,refuse,refuse,False,True,True,False,False,0.5,False,False,False,strict_schema_invalid|primary_status_mapping_error|flags_mismatch|action_mismatch
E2P-A001-12,A001,contract_out_of_domain+unavailable_tool,contract_defined_out_of_domain|unavailable,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,False,0.5,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-A002-01,A002,ready,,,ready,ready,ready,call,call,call,True,True,True,True,True,1.0,True,True,True,none
