group_type,n,transport_accepted_count,transport_accepted_rate,exactly_one_tool_call_count,exactly_one_tool_call_rate,primary_endpoint_hit_count,primary_endpoint_hit_rate,family_hit_count,family_hit_rate,scientific_hit_count,scientific_hit_rate,arguments_exact_count,arguments_exact_rate,primary_end_to_end_count,primary_end_to_end_rate,scientific_end_to_end_count,scientific_end_to_end_rate,primary_endpoint_hit_rate_given_single_call,method,tool_pool_size,pair_variant
overall,192,191,0.994792,188,0.979167,188,0.979167,188,0.979167,188,0.979167,188,0.979167,188,0.979167,188,0.979167,1.0,,,
method,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,1.0,dense_top5,,
method,64,63,0.984375,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,hierarchical,,
method,64,64,1.0,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,lexical_top5,,
pool_size,96,95,0.989583,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,1.0,,120,
pool_size,96,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,1.0,,17,
method_pool_size,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,dense_top5,120,
method_pool_size,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,dense_top5,17,
method_pool_size,32,31,0.96875,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,1.0,hierarchical,120,
method_pool_size,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,hierarchical,17,
method_pool_size,32,32,1.0,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,1.0,lexical_top5,120,
method_pool_size,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,lexical_top5,17,
pair_variant,96,95,0.989583,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,1.0,,,element_stoichiometry
pair_variant,96,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,1.0,,,molar_mass
method_pair_variant,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,dense_top5,,element_stoichiometry
method_pair_variant,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,dense_top5,,molar_mass
method_pair_variant,32,31,0.96875,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,1.0,hierarchical,,element_stoichiometry
method_pair_variant,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,hierarchical,,molar_mass
method_pair_variant,32,32,1.0,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,30,0.9375,1.0,lexical_top5,,element_stoichiometry
method_pair_variant,32,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,32,1.0,1.0,lexical_top5,,molar_mass
