sequence,cell_id,task_id,pair_id,pair_variant,source_pool_view_id,tool_pool_size,pool_repeat,method,selected_tool_id,transport_accepted,exactly_one_tool_call,arguments_json_valid,arguments_exact,primary_endpoint_hit,family_hit,alternative_hit,scientific_hit,primary_end_to_end,scientific_end_to_end,finish_reason,tool_call_count,provider_error,error_type,reasoning_content_observed,api_latency_ms,model_run_repeat,repeat_unit_id
1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1396.3973,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
2,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,992.7153,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
3,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,736.8699,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
4,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1238.8137,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
5,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1766.9754,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
6,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,929.3662,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
7,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,990.9722,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
8,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,800.1286,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
9,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1074.6034,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
10,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,808.3477,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
