group_type,n,transport_accepted_count,transport_accepted_rate,exactly_one_tool_call_count,exactly_one_tool_call_rate,primary_endpoint_hit_count,primary_endpoint_hit_rate,family_hit_count,family_hit_rate,scientific_hit_count,scientific_hit_rate,arguments_exact_count,arguments_exact_rate,primary_end_to_end_count,primary_end_to_end_rate,scientific_end_to_end_count,scientific_end_to_end_rate,primary_endpoint_hit_rate_given_single_call,model_run_repeat,method,tool_pool_size
overall,576,575,0.998264,565,0.980903,565,0.980903,565,0.980903,565,0.980903,565,0.980903,565,0.980903,565,0.980903,1.0,,,
repeat,192,191,0.994792,188,0.979167,188,0.979167,188,0.979167,188,0.979167,188,0.979167,188,0.979167,188,0.979167,1.0,R1,,
repeat,192,192,1.0,187,0.973958,187,0.973958,187,0.973958,187,0.973958,187,0.973958,187,0.973958,187,0.973958,1.0,R2,,
repeat,192,192,1.0,190,0.989583,190,0.989583,190,0.989583,190,0.989583,190,0.989583,190,0.989583,190,0.989583,1.0,R3,,
repeat_method,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,1.0,R1,dense_top5,
repeat_method,64,63,0.984375,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,R1,hierarchical,
repeat_method,64,64,1.0,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,R1,lexical_top5,
repeat_method,64,64,1.0,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,R2,dense_top5,
repeat_method,64,64,1.0,63,0.984375,63,0.984375,63,0.984375,63,0.984375,63,0.984375,63,0.984375,63,0.984375,1.0,R2,hierarchical,
repeat_method,64,64,1.0,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,R2,lexical_top5,
repeat_method,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,1.0,R3,dense_top5,
repeat_method,64,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,64,1.0,1.0,R3,hierarchical,
repeat_method,64,64,1.0,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,62,0.96875,1.0,R3,lexical_top5,
repeat_pool_size,96,95,0.989583,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,92,0.958333,1.0,R1,,120
repeat_pool_size,96,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,1.0,R1,,17
repeat_pool_size,96,96,1.0,91,0.947917,91,0.947917,91,0.947917,91,0.947917,91,0.947917,91,0.947917,91,0.947917,1.0,R2,,120
repeat_pool_size,96,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,1.0,R2,,17
repeat_pool_size,96,96,1.0,94,0.979167,94,0.979167,94,0.979167,94,0.979167,94,0.979167,94,0.979167,94,0.979167,1.0,R3,,120
repeat_pool_size,96,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,96,1.0,1.0,R3,,17
method,192,192,1.0,190,0.989583,190,0.989583,190,0.989583,190,0.989583,190,0.989583,190,0.989583,190,0.989583,1.0,,dense_top5,
method,192,191,0.994792,189,0.984375,189,0.984375,189,0.984375,189,0.984375,189,0.984375,189,0.984375,189,0.984375,1.0,,hierarchical,
method,192,192,1.0,186,0.96875,186,0.96875,186,0.96875,186,0.96875,186,0.96875,186,0.96875,186,0.96875,1.0,,lexical_top5,
pool_size,288,287,0.996528,277,0.961806,277,0.961806,277,0.961806,277,0.961806,277,0.961806,277,0.961806,277,0.961806,1.0,,,120
pool_size,288,288,1.0,288,1.0,288,1.0,288,1.0,288,1.0,288,1.0,288,1.0,288,1.0,1.0,,,17
