repeat_unit_id,task_id,pair_id,pair_variant,source_pool_view_id,tool_pool_size,pool_repeat,method,r1_primary_end_to_end,r2_primary_end_to_end,r3_primary_end_to_end,correct_repeat_count,primary_end_to_end_stable,stable_correct,stable_failure,variable_correctness,r1_outcome,r2_outcome,r3_outcome,exact_outcome_stable
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,True,True,True,3,True,True,False,False,single:A002:True,single:A002:True,single:A002:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CACO3-MOLAR-MASS,PAIR-A002-A003-CACO3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,True,True,True,3,True,True,False,False,single:A003:True,single:A003:True,single:A003:True,True
A002-A003-TOP5-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CACO3-MOLAR-MASS,PAIR-A002-A003-CACO3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,True,True,True,3,True,True,False,False,single:A003:True,single:A003:True,single:A003:True,True
